age,gender,married,dependents,education,employment_type,years_at_job,annual_income,coapplicant_income,credit_score,credit_history,loan_amount,loan_amount_term,loan_purpose,property_area,collateral_value,loan_status
31,Female,Yes,2,Not Graduate,Business,25,658,857,855,Good,724,300,Education,Urban,303,Rejected
59,Female,Yes,2,Not Graduate,Salaried,13,1813,790,729,Good,376,480,Education,Rural,464,Approved
24,Male,Yes,3,Graduate,Unemployed,10,1576,975,468,Good,188,300,Other,Rural,44,Rejected
21,Male,No,1,Graduate,Unemployed,28,949,241,700,Bad,339,480,Other,Rural,919,Rejected
48,Male,Yes,2,Graduate,Self-Employed,14,141,466,607,Good,59,360,Education,Rural,897,Rejected
44,Female,Yes,2,Graduate,Self-Employed,0,277,147,690,Bad,373,240,Business,Semiurban,480,Rejected
55,Female,No,1,Not Graduate,Business,19,1898,953,481,Good,441,360,Personal,Semiurban,826,Rejected
33,Male,No,1,Graduate,Salaried,11,103,118,887,Good,322,480,Business,Urban,490,Rejected
54,Female,No,0,Not Graduate,Self-Employed,10,409,329,681,Bad,418,480,Car,Urban,806,Rejected
31,Female,No,0,Not Graduate,Business,14,1740,811,304,Good,720,180,Car,Rural,806,Rejected
56,Male,No,3,Graduate,Unemployed,8,1808,119,501,Bad,338,240,Other,Semiurban,758,Rejected
37,Female,No,1,Not Graduate,Salaried,11,898,184,703,Good,298,180,Car,Rural,415,Approved
55,Male,No,0,Not Graduate,Unemployed,0,1203,621,544,Good,495,480,Business,Semiurban,743,Rejected
38,Male,Yes,2,Graduate,Salaried,21,160,533,567,Good,311,300,Business,Rural,524,Rejected
60,Male,No,0,Not Graduate,Salaried,21,1296,982,882,Good,237,240,Car,Rural,687,Approved
42,Male,No,2,Graduate,Business,26,477,775,812,Good,198,240,Home,Rural,273,Approved
44,Female,No,2,Graduate,Unemployed,1,1510,102,834,Bad,378,360,Personal,Semiurban,318,Rejected
39,Female,Yes,2,Graduate,Salaried,16,1042,12,669,Good,622,360,Education,Urban,763,Approved
57,Female,Yes,3,Not Graduate,Unemployed,0,1556,332,439,Bad,322,360,Other,Urban,318,Rejected
59,Male,No,1,Not Graduate,Business,9,614,902,879,Good,281,180,Car,Semiurban,513,Approved
41,Female,No,3,Graduate,Salaried,12,102,284,559,Bad,185,240,Education,Rural,790,Rejected
28,Male,No,0,Graduate,Business,28,576,940,354,Good,500,480,Education,Semiurban,731,Rejected
48,Female,Yes,0,Not Graduate,Business,14,1206,776,614,Good,685,180,Other,Semiurban,582,Rejected
25,Female,No,1,Not Graduate,Self-Employed,4,1895,857,484,Good,185,360,Education,Semiurban,231,Rejected
37,Male,Yes,1,Graduate,Unemployed,10,158,133,599,Good,138,180,Education,Semiurban,723,Rejected
57,Female,Yes,0,Not Graduate,Business,20,1158,544,876,Good,779,240,Other,Semiurban,241,Rejected
56,Male,No,1,Not Graduate,Self-Employed,26,408,284,506,Good,658,240,Other,Urban,204,Rejected
39,Male,Yes,1,Not Graduate,Unemployed,25,1523,850,371,Bad,435,360,Business,Urban,650,Rejected
47,Female,No,2,Not Graduate,Salaried,6,1499,799,888,Good,659,180,Home,Semiurban,679,Approved
54,Female,Yes,3,Not Graduate,Salaried,24,1302,916,893,Good,148,240,Business,Urban,952,Approved
31,Female,Yes,3,Graduate,Business,3,253,696,322,Bad,120,300,Other,Rural,154,Rejected
32,Female,Yes,3,Graduate,Salaried,19,777,272,410,Good,139,480,Education,Urban,160,Rejected
41,Male,No,2,Graduate,Unemployed,26,468,609,357,Good,134,180,Education,Rural,784,Rejected
31,Male,Yes,2,Graduate,Salaried,10,1191,466,477,Good,724,240,Education,Semiurban,234,Rejected
59,Female,Yes,1,Graduate,Business,6,1492,828,517,Good,303,360,Education,Urban,949,Rejected
48,Female,No,1,Graduate,Unemployed,13,1541,842,500,Good,662,300,Personal,Semiurban,569,Rejected
25,Female,Yes,2,Not Graduate,Salaried,24,342,59,609,Good,289,480,Personal,Urban,18,Rejected
37,Male,Yes,2,Not Graduate,Salaried,6,376,675,570,Bad,508,180,Personal,Rural,340,Rejected
40,Female,No,0,Graduate,Unemployed,23,780,373,551,Good,504,300,Business,Semiurban,544,Rejected
61,Male,No,2,Not Graduate,Unemployed,9,1566,662,716,Good,725,480,Other,Urban,382,Approved
32,Female,No,2,Graduate,Salaried,15,188,766,674,Good,168,180,Education,Urban,204,Rejected
26,Female,Yes,3,Graduate,Self-Employed,6,1382,342,476,Good,80,480,Car,Urban,54,Rejected
37,Male,Yes,0,Graduate,Salaried,24,336,353,351,Bad,382,180,Education,Semiurban,437,Rejected
39,Male,Yes,3,Not Graduate,Unemployed,21,411,994,744,Good,355,300,Home,Semiurban,967,Rejected
46,Female,Yes,3,Not Graduate,Unemployed,10,289,400,387,Bad,723,480,Personal,Urban,700,Rejected
64,Male,Yes,0,Not Graduate,Business,24,1525,268,661,Bad,684,180,Business,Urban,890,Rejected
64,Male,No,0,Not Graduate,Business,18,828,735,648,Good,740,240,Home,Semiurban,738,Rejected
52,Female,Yes,0,Graduate,Salaried,3,1347,848,522,Good,201,240,Other,Urban,440,Rejected
26,Male,No,1,Not Graduate,Business,24,1719,261,780,Good,550,300,Home,Urban,418,Approved
56,Male,Yes,0,Not Graduate,Unemployed,1,114,755,735,Good,213,360,Car,Semiurban,741,Rejected
58,Female,Yes,3,Not Graduate,Business,27,1317,190,722,Bad,789,300,Home,Rural,628,Rejected
31,Female,No,0,Graduate,Business,15,865,682,510,Good,191,480,Home,Semiurban,122,Rejected
53,Male,Yes,1,Graduate,Business,1,1880,425,456,Bad,295,360,Business,Semiurban,499,Rejected
44,Female,Yes,3,Not Graduate,Unemployed,25,1153,495,700,Good,408,240,Home,Semiurban,376,Approved
43,Male,No,0,Not Graduate,Salaried,7,559,682,716,Bad,268,240,Home,Rural,786,Rejected
35,Male,No,0,Not Graduate,Unemployed,10,1290,995,342,Good,210,300,Education,Urban,179,Rejected
47,Male,Yes,3,Graduate,Business,25,931,664,767,Good,487,300,Education,Urban,705,Approved
31,Female,No,3,Not Graduate,Self-Employed,5,1358,823,688,Good,756,240,Education,Urban,770,Approved
37,Male,Yes,0,Graduate,Self-Employed,20,1369,946,601,Good,460,300,Car,Rural,961,Rejected
34,Male,No,1,Graduate,Unemployed,17,1820,66,683,Bad,149,180,Car,Semiurban,775,Rejected
47,Male,Yes,3,Not Graduate,Self-Employed,16,418,567,684,Good,81,300,Personal,Semiurban,686,Approved
38,Female,No,2,Graduate,Unemployed,29,106,622,463,Good,717,360,Other,Urban,518,Rejected
48,Female,No,0,Not Graduate,Salaried,18,185,702,617,Good,192,240,Education,Urban,405,Rejected
24,Female,Yes,3,Not Graduate,Unemployed,10,1451,14,414,Bad,423,480,Education,Urban,791,Rejected
27,Male,No,3,Not Graduate,Unemployed,5,314,446,576,Bad,571,240,Education,Semiurban,157,Rejected
55,Male,No,0,Not Graduate,Unemployed,28,1658,301,826,Good,285,360,Other,Rural,111,Rejected
29,Female,No,0,Graduate,Business,26,943,764,349,Good,706,300,Other,Urban,842,Rejected
28,Male,Yes,0,Not Graduate,Salaried,26,361,529,864,Good,561,480,Home,Semiurban,70,Rejected
37,Male,No,1,Not Graduate,Unemployed,11,797,521,422,Good,222,240,Other,Urban,920,Rejected
37,Male,No,2,Graduate,Business,11,1649,644,497,Good,367,180,Other,Urban,296,Rejected
53,Male,No,3,Graduate,Business,11,1407,421,711,Good,571,180,Other,Rural,627,Approved
52,Female,Yes,0,Not Graduate,Business,4,360,468,444,Good,238,240,Car,Rural,718,Rejected
28,Female,Yes,0,Graduate,Business,5,155,171,676,Good,303,300,Other,Urban,192,Rejected
39,Female,No,1,Not Graduate,Business,14,732,128,554,Good,758,180,Education,Rural,637,Rejected
58,Male,Yes,2,Not Graduate,Salaried,26,609,564,793,Bad,153,180,Education,Urban,785,Rejected
23,Male,No,3,Not Graduate,Salaried,6,1788,811,357,Bad,235,480,Business,Rural,466,Rejected
25,Female,Yes,2,Graduate,Self-Employed,6,1534,792,593,Good,748,180,Personal,Semiurban,966,Rejected
33,Female,No,2,Not Graduate,Salaried,2,543,554,491,Good,557,300,Home,Rural,77,Rejected
51,Female,Yes,0,Graduate,Self-Employed,26,1255,156,763,Bad,195,240,Home,Rural,864,Rejected
36,Male,No,0,Graduate,Self-Employed,25,640,425,618,Good,110,180,Car,Semiurban,685,Rejected
52,Female,No,0,Not Graduate,Business,23,1868,993,855,Good,125,180,Education,Semiurban,955,Approved
42,Male,Yes,1,Not Graduate,Salaried,7,722,622,851,Good,396,300,Home,Semiurban,967,Approved
49,Female,No,1,Not Graduate,Salaried,10,1749,442,310,Good,158,360,Home,Urban,864,Rejected
42,Male,No,1,Graduate,Business,18,362,594,682,Bad,461,180,Personal,Rural,750,Rejected
63,Male,No,0,Graduate,Unemployed,21,1539,181,777,Good,721,300,Other,Rural,323,Rejected
23,Female,Yes,0,Not Graduate,Business,24,1015,50,313,Good,103,360,Other,Rural,789,Rejected
30,Male,No,0,Graduate,Self-Employed,0,1443,683,513,Good,797,480,Home,Urban,394,Rejected
62,Male,No,2,Graduate,Salaried,26,1491,309,643,Good,776,180,Car,Urban,17,Rejected
41,Female,No,1,Graduate,Salaried,1,654,950,364,Good,180,480,Home,Urban,2,Rejected
36,Female,Yes,1,Not Graduate,Self-Employed,17,455,786,510,Bad,516,300,Home,Semiurban,706,Rejected
32,Female,No,2,Not Graduate,Self-Employed,20,927,483,441,Good,770,240,Other,Urban,828,Rejected
22,Male,Yes,3,Graduate,Self-Employed,28,576,255,560,Good,721,480,Car,Urban,805,Rejected
61,Male,No,2,Graduate,Business,21,767,764,660,Good,528,180,Car,Semiurban,95,Rejected
44,Female,Yes,2,Not Graduate,Unemployed,18,139,511,682,Good,415,360,Personal,Rural,972,Rejected
55,Female,Yes,0,Graduate,Self-Employed,19,1446,188,739,Good,682,180,Personal,Urban,250,Rejected
50,Male,Yes,3,Graduate,Self-Employed,25,1086,523,367,Good,532,480,Personal,Rural,564,Rejected
50,Female,No,2,Not Graduate,Business,27,1080,799,624,Good,642,180,Personal,Urban,364,Rejected
55,Female,Yes,3,Not Graduate,Self-Employed,12,904,725,622,Good,300,240,Home,Urban,915,Rejected
39,Male,Yes,3,Not Graduate,Self-Employed,17,454,640,604,Good,577,360,Car,Rural,121,Rejected
28,Male,Yes,0,Graduate,Salaried,27,414,256,392,Good,793,480,Home,Urban,426,Rejected
46,Female,Yes,3,Not Graduate,Self-Employed,18,1911,740,593,Good,769,180,Home,Semiurban,617,Rejected
60,Male,Yes,0,Graduate,Unemployed,27,546,279,603,Good,391,480,Education,Urban,914,Rejected
27,Male,Yes,1,Not Graduate,Unemployed,7,812,844,329,Good,206,360,Other,Urban,191,Rejected
50,Female,Yes,2,Not Graduate,Self-Employed,14,262,752,705,Bad,98,240,Personal,Semiurban,526,Rejected
27,Female,Yes,0,Not Graduate,Business,20,413,304,745,Good,788,240,Education,Urban,24,Rejected
23,Female,Yes,0,Not Graduate,Self-Employed,17,1261,603,885,Good,758,300,Business,Urban,477,Rejected
21,Male,No,2,Not Graduate,Salaried,9,1364,480,451,Good,541,240,Business,Rural,60,Rejected
56,Female,Yes,0,Not Graduate,Unemployed,14,1694,601,310,Good,702,360,Other,Rural,208,Rejected
45,Male,Yes,3,Graduate,Salaried,9,984,272,668,Good,184,480,Car,Urban,693,Approved
57,Female,Yes,0,Not Graduate,Business,26,760,280,768,Good,458,240,Education,Rural,645,Rejected
21,Male,Yes,0,Graduate,Salaried,17,1422,62,641,Good,403,240,Car,Urban,740,Rejected
35,Male,Yes,3,Not Graduate,Business,19,1356,927,742,Good,548,240,Car,Urban,609,Approved
57,Female,Yes,2,Graduate,Unemployed,24,1934,1,467,Good,713,180,Personal,Rural,490,Rejected
33,Male,Yes,0,Graduate,Salaried,29,315,501,529,Good,355,300,Business,Urban,587,Rejected
60,Female,No,1,Graduate,Salaried,5,1482,362,388,Good,180,240,Education,Rural,884,Rejected
28,Female,No,2,Not Graduate,Self-Employed,0,228,797,597,Good,84,240,Education,Urban,349,Rejected
25,Male,No,1,Graduate,Business,13,1297,113,755,Good,554,300,Home,Rural,835,Approved
29,Male,Yes,1,Not Graduate,Self-Employed,26,1250,205,550,Good,541,240,Personal,Rural,809,Rejected
21,Male,Yes,1,Graduate,Business,19,1998,588,707,Good,646,480,Other,Semiurban,327,Approved
56,Female,No,0,Not Graduate,Self-Employed,29,1026,164,596,Good,672,360,Car,Rural,826,Rejected
55,Female,No,3,Graduate,Unemployed,2,674,756,412,Good,356,180,Personal,Semiurban,276,Rejected
22,Female,Yes,0,Graduate,Salaried,0,1553,74,389,Good,200,240,Business,Urban,743,Rejected
60,Female,Yes,1,Not Graduate,Self-Employed,21,1786,570,845,Good,470,480,Other,Urban,354,Approved
43,Female,No,1,Graduate,Salaried,9,1909,684,627,Good,644,240,Home,Semiurban,674,Rejected
29,Female,No,3,Graduate,Business,16,1569,431,701,Good,228,240,Education,Rural,296,Approved
54,Male,No,2,Graduate,Business,0,382,72,589,Good,317,480,Business,Urban,969,Rejected
34,Female,No,1,Graduate,Unemployed,15,1167,227,537,Good,787,480,Car,Rural,235,Rejected
24,Female,Yes,0,Not Graduate,Unemployed,22,273,21,795,Good,159,480,Other,Urban,744,Approved
50,Female,No,1,Graduate,Salaried,0,672,835,721,Good,512,240,Other,Semiurban,1,Rejected
51,Female,No,1,Not Graduate,Self-Employed,26,1263,990,669,Good,607,360,Home,Semiurban,530,Approved
58,Male,Yes,2,Not Graduate,Unemployed,28,1350,170,368,Good,510,480,Personal,Urban,271,Rejected
31,Male,No,3,Graduate,Salaried,2,1484,229,676,Good,484,480,Education,Semiurban,864,Approved
55,Male,No,1,Graduate,Self-Employed,4,1395,754,456,Good,213,480,Home,Rural,152,Rejected
28,Female,No,2,Not Graduate,Unemployed,18,1528,371,463,Good,559,360,Other,Urban,91,Rejected
23,Female,Yes,2,Graduate,Salaried,21,711,488,854,Good,199,180,Personal,Urban,702,Approved
34,Female,Yes,1,Graduate,Salaried,13,1240,704,305,Good,406,180,Car,Rural,594,Rejected
33,Male,No,1,Not Graduate,Unemployed,13,291,182,351,Good,380,180,Education,Urban,274,Rejected
52,Female,Yes,3,Not Graduate,Unemployed,24,222,658,778,Good,753,480,Car,Urban,388,Rejected
54,Female,Yes,0,Graduate,Unemployed,17,368,575,419,Good,354,360,Business,Rural,860,Rejected
39,Male,No,0,Graduate,Business,6,533,8,441,Good,720,180,Home,Urban,572,Rejected
58,Male,Yes,3,Graduate,Self-Employed,19,227,203,668,Bad,169,240,Home,Rural,770,Rejected
36,Female,No,2,Graduate,Unemployed,28,1643,934,793,Good,791,300,Car,Rural,749,Approved
22,Male,Yes,2,Not Graduate,Self-Employed,10,1563,682,728,Good,156,300,Other,Urban,434,Approved
60,Female,No,3,Not Graduate,Salaried,21,283,161,423,Good,725,300,Other,Urban,264,Rejected
37,Female,Yes,0,Graduate,Self-Employed,9,235,458,693,Good,147,240,Education,Urban,54,Rejected
54,Male,Yes,2,Not Graduate,Unemployed,11,1587,740,569,Good,778,360,Home,Semiurban,784,Rejected
62,Female,No,0,Not Graduate,Salaried,9,1338,318,404,Good,236,240,Other,Semiurban,510,Rejected
36,Male,No,2,Not Graduate,Unemployed,5,784,943,680,Bad,648,360,Personal,Urban,618,Rejected
58,Male,No,0,Graduate,Unemployed,7,453,686,469,Good,507,360,Car,Semiurban,894,Rejected
22,Female,No,3,Not Graduate,Salaried,6,1275,912,876,Good,450,300,Education,Urban,175,Rejected
22,Male,Yes,0,Graduate,Self-Employed,12,985,208,426,Good,140,240,Business,Urban,216,Rejected
46,Female,Yes,2,Not Graduate,Self-Employed,20,120,374,785,Good,424,480,Education,Urban,819,Rejected
33,Female,No,2,Not Graduate,Salaried,22,1632,719,533,Good,674,360,Home,Rural,714,Rejected
51,Male,Yes,2,Graduate,Unemployed,11,752,555,350,Good,108,480,Home,Rural,99,Rejected
54,Male,No,1,Graduate,Self-Employed,11,1429,918,777,Good,703,480,Education,Urban,848,Approved
59,Male,Yes,1,Graduate,Self-Employed,29,534,874,800,Good,64,300,Business,Urban,430,Approved
23,Female,No,2,Graduate,Unemployed,21,1127,807,514,Good,117,300,Business,Urban,612,Rejected
28,Female,Yes,3,Graduate,Self-Employed,12,1856,359,429,Good,458,360,Car,Rural,371,Rejected
43,Female,No,2,Graduate,Self-Employed,20,1831,523,361,Good,127,240,Education,Urban,216,Rejected
34,Female,Yes,3,Graduate,Business,8,1784,214,342,Good,798,240,Other,Urban,507,Rejected
47,Female,Yes,2,Not Graduate,Business,19,1029,306,857,Good,797,480,Business,Urban,504,Rejected
49,Female,No,2,Not Graduate,Salaried,27,1196,722,407,Good,698,240,Personal,Rural,966,Rejected
59,Female,Yes,3,Not Graduate,Salaried,6,1020,817,889,Good,322,300,Personal,Semiurban,219,Approved
59,Male,Yes,0,Graduate,Unemployed,28,204,479,854,Good,208,360,Other,Semiurban,17,Rejected
21,Female,No,1,Not Graduate,Business,15,1464,704,684,Good,67,360,Car,Semiurban,422,Approved
37,Female,No,2,Graduate,Salaried,22,231,590,583,Good,320,480,Personal,Urban,553,Rejected
61,Male,No,3,Not Graduate,Business,18,419,431,383,Good,466,300,Business,Urban,485,Rejected
50,Female,No,3,Graduate,Salaried,23,947,535,318,Good,383,480,Education,Semiurban,881,Rejected
33,Female,Yes,1,Graduate,Self-Employed,24,124,700,622,Bad,170,180,Car,Rural,378,Rejected
41,Male,No,1,Graduate,Self-Employed,10,1547,53,780,Good,759,180,Business,Urban,668,Approved
39,Female,No,0,Not Graduate,Unemployed,4,618,52,377,Bad,203,180,Education,Semiurban,132,Rejected
39,Male,No,2,Not Graduate,Business,16,784,304,307,Bad,617,300,Car,Urban,524,Rejected
45,Female,Yes,1,Not Graduate,Business,0,1640,123,809,Good,196,480,Other,Rural,16,Rejected
42,Female,Yes,0,Graduate,Business,4,1931,884,359,Good,456,360,Business,Semiurban,510,Rejected
51,Male,Yes,2,Not Graduate,Business,29,376,857,739,Good,430,180,Business,Semiurban,717,Rejected
37,Male,Yes,2,Not Graduate,Self-Employed,1,773,167,741,Good,739,180,Personal,Urban,303,Rejected
43,Female,No,3,Not Graduate,Self-Employed,1,531,894,343,Good,75,240,Education,Urban,26,Rejected
52,Female,Yes,1,Not Graduate,Business,11,1017,919,517,Good,667,480,Other,Semiurban,18,Rejected
30,Male,Yes,0,Graduate,Unemployed,28,190,969,782,Good,764,180,Education,Semiurban,400,Rejected
30,Female,No,0,Graduate,Business,21,1887,965,731,Good,638,480,Home,Semiurban,902,Approved
56,Male,No,3,Graduate,Salaried,4,160,449,578,Good,518,240,Business,Semiurban,421,Rejected
28,Male,Yes,0,Not Graduate,Self-Employed,29,1837,892,861,Good,226,240,Home,Semiurban,69,Rejected
40,Male,No,0,Graduate,Self-Employed,10,434,33,478,Good,731,180,Car,Rural,559,Rejected
52,Female,Yes,2,Graduate,Business,12,730,913,880,Good,712,480,Education,Rural,555,Rejected
34,Female,Yes,1,Graduate,Salaried,17,998,343,389,Good,655,360,Home,Urban,95,Rejected
48,Female,Yes,3,Not Graduate,Unemployed,13,722,459,570,Bad,617,240,Personal,Semiurban,829,Rejected
44,Male,No,1,Graduate,Self-Employed,4,1328,663,640,Good,484,360,Education,Urban,91,Rejected
35,Female,No,0,Not Graduate,Salaried,10,1597,71,572,Good,600,180,Other,Urban,37,Rejected
42,Male,Yes,0,Graduate,Salaried,3,155,128,555,Good,64,360,Other,Semiurban,282,Rejected
50,Male,Yes,0,Not Graduate,Self-Employed,21,1316,684,394,Good,756,300,Car,Urban,196,Rejected
24,Female,No,1,Graduate,Self-Employed,16,978,920,383,Good,633,180,Education,Urban,596,Rejected
33,Female,Yes,3,Not Graduate,Salaried,13,684,9,352,Good,97,480,Car,Urban,98,Rejected
43,Male,No,3,Not Graduate,Unemployed,27,778,99,708,Good,736,180,Home,Semiurban,547,Rejected
28,Female,No,2,Not Graduate,Salaried,2,1149,296,690,Good,607,180,Personal,Rural,296,Rejected
38,Male,No,3,Not Graduate,Self-Employed,20,1397,518,390,Good,603,180,Home,Rural,937,Rejected
32,Female,No,2,Not Graduate,Business,23,1451,818,685,Good,343,180,Education,Rural,501,Approved
51,Male,Yes,0,Graduate,Unemployed,1,114,604,600,Good,226,480,Personal,Rural,106,Rejected
34,Female,No,3,Not Graduate,Salaried,7,1937,793,432,Good,679,480,Education,Semiurban,327,Rejected
54,Male,No,2,Graduate,Self-Employed,23,377,489,494,Good,504,360,Car,Rural,969,Rejected
38,Female,No,2,Not Graduate,Salaried,15,1033,738,837,Good,554,480,Personal,Rural,517,Approved
54,Male,Yes,1,Graduate,Unemployed,5,913,159,744,Good,615,180,Home,Rural,884,Rejected
31,Male,Yes,0,Graduate,Unemployed,20,1639,689,564,Good,354,360,Education,Semiurban,80,Rejected
61,Male,Yes,3,Graduate,Unemployed,6,120,118,819,Good,276,360,Personal,Urban,382,Rejected
32,Male,Yes,3,Not Graduate,Unemployed,21,1075,807,724,Good,708,360,Education,Rural,175,Rejected
35,Male,Yes,3,Graduate,Unemployed,14,145,95,688,Good,308,360,Car,Semiurban,640,Rejected
51,Male,No,2,Not Graduate,Self-Employed,8,188,800,407,Good,124,360,Other,Urban,318,Rejected
49,Female,Yes,3,Not Graduate,Salaried,17,1914,502,534,Bad,666,480,Car,Rural,364,Rejected
46,Male,Yes,3,Graduate,Salaried,11,607,849,319,Good,133,240,Personal,Rural,238,Rejected
38,Male,No,3,Not Graduate,Business,5,372,358,816,Good,339,180,Education,Semiurban,963,Rejected
52,Female,Yes,0,Graduate,Unemployed,26,1219,85,834,Good,475,360,Personal,Urban,575,Approved
42,Female,Yes,0,Not Graduate,Salaried,11,851,270,341,Good,134,240,Education,Rural,55,Rejected
58,Male,No,2,Graduate,Unemployed,6,1189,232,728,Good,548,360,Car,Rural,721,Approved
37,Female,Yes,1,Not Graduate,Salaried,14,996,918,848,Good,642,180,Personal,Semiurban,101,Rejected
43,Female,Yes,3,Graduate,Salaried,0,850,104,362,Good,232,360,Business,Rural,951,Rejected
44,Male,No,3,Not Graduate,Self-Employed,14,1616,484,412,Good,143,180,Other,Rural,463,Rejected
28,Male,Yes,2,Not Graduate,Self-Employed,13,317,140,330,Bad,129,180,Business,Urban,213,Rejected
61,Female,Yes,3,Graduate,Self-Employed,24,1556,21,593,Good,213,480,Education,Semiurban,529,Rejected
26,Female,No,1,Not Graduate,Unemployed,12,1414,85,501,Good,726,180,Other,Rural,222,Rejected
25,Female,Yes,2,Not Graduate,Unemployed,23,1183,831,473,Good,239,180,Business,Urban,291,Rejected
64,Female,Yes,0,Not Graduate,Self-Employed,20,1385,348,804,Good,313,360,Home,Urban,447,Approved
49,Female,Yes,1,Not Graduate,Salaried,13,985,642,674,Good,457,480,Other,Rural,247,Approved
48,Female,Yes,3,Graduate,Unemployed,14,524,18,743,Good,138,180,Other,Rural,323,Approved
31,Male,Yes,1,Not Graduate,Unemployed,20,1324,235,877,Good,71,300,Personal,Rural,925,Approved
21,Female,No,0,Graduate,Business,8,695,816,795,Good,298,180,Car,Semiurban,630,Approved
63,Male,Yes,2,Graduate,Salaried,17,1044,99,639,Good,728,360,Personal,Rural,752,Rejected
39,Male,No,1,Not Graduate,Salaried,5,637,434,300,Bad,209,300,Other,Semiurban,392,Rejected
29,Female,Yes,2,Not Graduate,Business,19,332,678,666,Good,218,480,Business,Rural,762,Rejected
47,Male,Yes,2,Graduate,Business,3,261,197,712,Good,762,300,Education,Semiurban,365,Rejected
54,Female,No,3,Graduate,Business,7,850,269,342,Good,95,360,Car,Semiurban,203,Rejected
64,Male,No,3,Not Graduate,Business,18,1709,667,866,Good,147,240,Education,Rural,368,Approved
24,Female,No,2,Not Graduate,Business,10,321,414,389,Good,68,240,Home,Semiurban,633,Rejected
56,Male,Yes,0,Not Graduate,Business,7,1383,696,382,Good,198,360,Personal,Urban,987,Rejected
38,Female,Yes,2,Graduate,Unemployed,9,458,684,620,Bad,561,300,Personal,Rural,843,Rejected
35,Male,No,0,Graduate,Unemployed,28,325,473,763,Good,204,360,Business,Rural,360,Rejected
33,Female,Yes,1,Not Graduate,Unemployed,4,364,114,340,Good,652,480,Home,Semiurban,308,Rejected
39,Male,Yes,2,Graduate,Self-Employed,1,168,901,803,Good,135,480,Other,Semiurban,963,Rejected
26,Male,Yes,1,Not Graduate,Business,11,108,297,888,Good,694,480,Other,Semiurban,118,Rejected
32,Male,Yes,2,Graduate,Business,20,380,514,387,Bad,572,180,Other,Semiurban,62,Rejected
57,Female,Yes,1,Graduate,Business,19,1675,392,398,Good,730,180,Education,Urban,995,Rejected
37,Female,No,0,Graduate,Business,24,1318,770,722,Good,389,360,Other,Rural,107,Rejected
43,Female,Yes,1,Not Graduate,Unemployed,5,892,80,892,Good,175,240,Home,Rural,356,Approved
46,Female,No,1,Graduate,Business,10,406,282,746,Good,181,360,Personal,Rural,669,Approved
49,Female,Yes,3,Graduate,Self-Employed,28,245,562,531,Bad,200,360,Other,Rural,394,Rejected
53,Male,Yes,2,Not Graduate,Unemployed,18,1617,525,484,Good,258,480,Home,Semiurban,151,Rejected
47,Female,Yes,2,Not Graduate,Unemployed,17,542,356,505,Good,565,240,Car,Semiurban,48,Rejected
45,Female,Yes,2,Graduate,Unemployed,29,1978,487,577,Good,481,480,Personal,Rural,84,Rejected
30,Male,No,2,Graduate,Self-Employed,6,1310,750,819,Good,77,240,Car,Urban,605,Approved
43,Female,Yes,3,Not Graduate,Unemployed,16,1797,688,812,Good,443,480,Education,Urban,83,Rejected
41,Female,Yes,0,Not Graduate,Self-Employed,20,408,771,694,Good,572,240,Education,Semiurban,538,Rejected
41,Female,No,1,Graduate,Salaried,20,581,745,486,Good,504,480,Car,Semiurban,787,Rejected
63,Female,Yes,1,Not Graduate,Business,3,1938,175,539,Good,178,240,Other,Urban,737,Rejected
33,Female,Yes,0,Not Graduate,Self-Employed,2,1531,199,634,Good,211,240,Education,Rural,408,Rejected
57,Female,Yes,1,Not Graduate,Business,24,1696,394,672,Good,146,360,Car,Urban,387,Approved
53,Male,No,3,Not Graduate,Business,29,341,316,788,Bad,595,300,Other,Rural,653,Rejected
44,Female,Yes,2,Graduate,Unemployed,3,1875,85,663,Good,105,480,Business,Urban,823,Approved
64,Female,No,2,Not Graduate,Unemployed,13,1692,947,582,Good,111,180,Education,Semiurban,416,Rejected
31,Female,No,3,Not Graduate,Self-Employed,8,1829,882,382,Bad,305,480,Personal,Semiurban,223,Rejected
37,Male,Yes,2,Not Graduate,Self-Employed,22,1456,32,622,Good,666,480,Car,Semiurban,539,Rejected
24,Male,Yes,1,Graduate,Unemployed,24,1527,361,853,Good,597,300,Business,Urban,720,Approved
45,Male,Yes,0,Not Graduate,Business,17,682,171,481,Good,198,180,Home,Urban,311,Rejected
50,Male,Yes,0,Graduate,Unemployed,17,470,799,339,Bad,513,300,Education,Urban,173,Rejected
29,Female,No,1,Not Graduate,Business,15,773,727,414,Good,171,180,Car,Urban,571,Rejected
41,Male,Yes,0,Graduate,Salaried,27,153,769,382,Good,560,300,Car,Urban,328,Rejected
40,Female,Yes,0,Graduate,Self-Employed,11,676,862,552,Good,492,180,Personal,Rural,577,Rejected
39,Female,Yes,2,Not Graduate,Unemployed,7,1368,646,409,Good,556,240,Other,Urban,811,Rejected
39,Female,No,1,Graduate,Business,29,299,434,514,Good,171,240,Business,Urban,457,Rejected
32,Male,Yes,3,Not Graduate,Salaried,27,534,724,618,Good,205,480,Car,Rural,83,Rejected
57,Female,Yes,0,Graduate,Business,8,1496,829,754,Good,173,480,Home,Urban,979,Approved
62,Male,Yes,1,Graduate,Self-Employed,28,1932,997,435,Good,226,360,Personal,Urban,871,Rejected
